notation,label,broader
root,海老名市立中央図書館分類表,
01,料理,root
02,旅行,root
03,住まいと暮らし,root
04,美容・健康,root
05,ファッション,root
06,スポーツ・アウトドア,root
07,趣味実用,root
08,人文,root
09,児童書,root
10,語学・参考書,root
11,文学・文芸書,root
12,歴史・郷土,root
13,アート,root
14,経済,root
15,ビジネス,root
16,政治・国際,root
17,社会,root
18,法律,root
19,IT,root
20,自然科学,root
21,産業,root
22,技術,root
23,建築,root
24,医療・看護福祉,root
25,教育,root
26,雑誌,root
27,コミック,root
28,洋書,root
29,AV資料,root
010001,キッチン,01
010011,おもてなし,01
010021,食卓のレシピ,01
010031,お酒,01
010041,教養/読み物,01
010051,料理,01
020001,テーマ別旅行,02
020011,国内旅行,02
020021,海外旅行,02
020031,旅行シリーズ別,02
020041,観光事業,02
020051,旅行地図,02
020061,旅行,02
030001,ライフスタイル,03
030011,住まい,03
030021,暮らし,03
030031,ペットと暮らす,03
030041,緑のある暮らし,03
030051,手芸,03
030061,クラフト,03
030071,住まいと暮らし,03
040001,美容,04
040011,健康,04
040021,出産・育児,04
040031,美容・健康,04
050001,ファッション,05
060001,スポーツ,06
060011,アウトドア,06
060021,スポーツ・アウトドア,06
070001,日本文化,07
070011,陶芸・工芸,07
070021,趣味の絵画,07
070031,音楽・演奏,07
070041,カメラ,07
070051,鉄道,07
070061,クルマ,07
070071,バイク,07
070081,クルマ・バイク,07
070091,乗り物,07
070101,コレクション,07
070111,ミリタリー,07
070121,ゲーム,07
070131,競馬,07
070141,ギャンブル,07
070151,占い,07
070161,趣味実用,07
080001,民俗,08
080011,宗教,08
080021,哲学思想,08
080031,精神世界,08
080041,心理,08
080051,人文,08
090001,絵本,09
090011,紙芝居,09
090021,読み物,09
090031,学ぶ,09
090041,作る・あそぶ,09
090051,事典・図鑑,09
090061,児童書,09
100001,言語学,10
100011,日本語,10
100021,英語,10
100031,英検・TOEIC,10
100041,その他各国語,10
100051,辞書・事典,10
100061,学習参考書,10
100071,資格・就職,10
100081,語学・参考書,10
110001,国内文芸,11
110011,歴史・時代小説,11
110021,海外文芸,11
110031,エッセイ,11
110041,ノンフィクション,11
110051,雑学・教養,11
110061,エンターテイメント,11
110071,俳句・短歌,11
110081,詩,11
110091,文学,11
110101,文芸評論,11
110111,文学・文芸書,11
120001,世界史,12
120011,日本史,12
120021,郷土,12
120031,地図,12
120041,歴史・郷土,12
120051,行政資料,12
130001,美術,13
130011,画集,13
130021,デザイン,13
130031,写真集,13
130041,演劇・舞踊,13
130051,映画,13
130061,音楽,13
130071,アート,13
140001,経済,14
140011,金融,14
150001,経営,15
150011,業界・企業,15
150021,マーケティング・セールス,15
150031,独立・開業,15
150041,法務・人事・労務,15
150051,税務・会計・経理,15
150061,仕事術,15
150071,自己啓発,15
150081,生活設計,15
150091,ビジネス,15
160001,政治,16
160011,国際,16
160021,政治・国際,16
170001,社会,17
180001,法律,18
190001,情報科学,19
190011,パソコン一般,19
190021,パソコン入門,19
190031,ハードウエア,19
190041,Apple,19
190051,アプリケーション,19
190061,グラフィック,19
190071,Web作成,19
190081,プログラミング言語,19
190091,Linux・UNIX,19
190101,ネットワーク,19
190111,IT,19
200001,数学,20
200011,理学,20
200021,自然科学,20
210001,産業,21
220001,土木,22
220011,電気・電子,22
220021,機械,22
220031,工学,22
220041,技術,22
230001,建築,23
240001,医学,24
240011,看護,24
240021,介護・福祉,24
240031,医療・看護福祉,24
250001,教育・保育,25
260001,雑誌,26
270001,コミック,27
280001,洋書,28
290001,AV資料,29
0100010001,キッチン,010001
0100110001,テーブル,010011
0100110011,お取りよせ・手みやげ,010011
0100210001,日々のごはん,010021
0100210011,日々のごはんの達人,010021
0100210021,お弁当,010021
0100210031,健康ごはん,010021
0100210041,食材,010021
0100210051,調味料・保存食,010021
0100210061,パン,010021
0100210071,お菓子,010021
0100210081,ドリンク,010021
0100210091,世界のごはん,010021
0100210101,日本料理,010021
0100210111,専門料理,010021
0100310001,お酒,010031
0100310011,ワイン,010031
0100410001,グルメエッセイ,010041
0100410011,食文化,010041
0100410021,食育,010041
0100410031,食の安全,010041
0100510001,全集,010051
0200010001,あの人の行った旅,020001
0200010011,世界を旅する,020001
0200010021,海外で暮らす,020001
0200010031,リゾート,020001
0200010041,LONELY PLANET,020001
0200010051,世界の食めぐり,020001
0200010061,鉄道・船の旅,020001
0200010071,建築・アート・カルチャー,020001
0200010081,聖地・仏閣めぐり,020001
0200010091,歴史の旅,020001
0200010101,文学を旅する,020001
0200010111,ドライブ・ツーリング,020001
0200010121,家族旅行,020001
